Grant Name,Grant Number,County,Persons (entities),Year,Land Size (Acres),Land Size (Sq. Leagues),Coordinates,Notes
BOLSA NUEVA Y MORO COJO,245,Monterey,"John Milligan, Simeon Castro, Francisco Soto, Simeon Castro, Maria Antonia Pico de
   Castro, Simeon Castro, M. A. P. Castro, Simeon Castro, Juana, Manuel J., Manuel, Maria Antonio, Leandro, Juan B.",1873,901.34,2,"In T 13S, R 2-3E
   MDM",
LOS ANGELES CITY LANDS,427,Los Angeles,,1875,172.37,,,
SAN VICENTE Y SANTA MONICA,432,Los Angeles,"Francisco Sepulveda, Ramona Sepulveda",15-16,259.65,4,,
NIGUEL,501,Orange,"Juan, Concepcion Avila, Juan, Concepcion Avila, Miguel, Los Alisos",1873,316.01,3,"In T 7S, R 8W, SBM",
HUICHICA,72,,"Tein., Manuel Jimeno, Casarin, Jacob P. Leese, Jacob P. Leese",1859,18.704,,,
CANADA DE HERRERA,40,Marin,"Tern. Manuel Jimeno, Casarin, Domingo Sais, Domingo Sais",1878,659.45,,,
LA POLKA,227,Santa Clara,"Dona Maria Isabel
   Ortega, Martin J. C. Murphy",1860,166.78,,"In T 10S, R 4E, MDM",
SANJON DE LOS MOQUELUMNES,93,,"Anastasio Chabolla, Anastasio
   Chabolla",1865,508.14,8,,
CANADA DE LOS COCHES,535,San Diego,Apolinario Lorenzana,1873,28.39,,,
EL CORTE DE MADERA,173,,"Maximo Martinez, Domingo Peralta, Maximo Martinez, Maximo
   Martinez, Maximo Martinez",1858,316.05,,,
TUJUNGA,413,Los Angeles,"Pedro Lopez, Francisco Lopez, D. W. Alexander, Alexander Bell",1874,"6,680",2,"In T 2N R 14W
  SBM",
SAUSAL REDONDO,438,Los Angeles,"de la Guerra y
  Noriega, Antonio Ignacio Avila, Sausal Redondo y
  Guaspito",1875 to A. I. Avila,458.94,,,
MUSCUPIABE,480,San Bernardino,"Michael
   White, Michael White",1872,144.88,,"In T 1-2N, R 4-5 W.",
ISLAND OF SANTA CRUZ,404,Santa Barbara,"Andres Castillero, Andres Castillero",Long. 34,750.33,11,,
RINCON DE LA BREA,461,,"Gil Ybarra, Gil Ybarra",1864,452.59,,,
CAPAY,8,,"Josefa Soto, Josefa Soto",1859,388.17,10,"InT21-23N, R 1-3W, MDM",
PUNTA DE LA LAGUNA,354,,"Luis Arellanes, Emelio Miguel
  Ortega, Luis
  Arellanes",1873,648.42,6,,
CANADA DEL CORTE DE MADERA,551,,"Domingo Peralta, Maximo
   Martinez, Maximo Martinez, Cipriano Thum, Thum, Carpenter",1882,565.91,,,
LOS PENASQLITOS,525,San Diego,"Francisco Maria Ruiz, Francisco Maria Alvarado, Maria Ruiz",1876,"8,486",,"In T 14S, R 2-3W,
   SBM",
LOCOALLOME,81,Napa,"Manuel Jimeno, Casarin, Joseph Pope, Julian Pope",1862,872.73,2,,
LA JOTA,80,Napa,"George C. Yount, George C. Yount",1857,453.84,,"In
  T 8-9N, R 5W.",
CAP AY,8,,"Josefa Soto, Josefa Soto",1859,388.17,10,"In T 21-23N, R 1-3W, MDM",
LOS CERRITOS,467,Los Angeles,"Don
  Manuel Nieto, Manuel Nieto, Dona
  Manuela Nieto, Manuel Nieto",1867,054.36,,"In T 3-4S, R 12-13W, SBM",
CANADA DE LOS VAQUEROS,109,,"Maria B., Alviso, Antonio, Manuel, Mirando Higuera, Robert Livermore, Jose Noriega",1889,"17,760",4,"In
   T 1-2S,R2-3E, MDM",
EL CONE JO,408,,"Grant, Ignacio
  Rodriguez, Jose Polanco, Polanco, de Sola, Jose
  de la Guerra y Noriega, Rodriquez, Maria del Carmen Rodriguez, Jose de la Guerra y Noriega, Maria
  del Carmen Rodriguez, Jose de la Guerra y
  Noriega",1873,671.56,11,,
LA BOLSA CHICA,469,Orange,"Joaquin Ruiz, Joaquin Ruiz",1874,107.46,,"InT5S, R11W, SBM",
ATASCADERO,317,San Luis Obispo,"Trifion Garcia, Henry Haieht",1860,348.23,,"InT28S, R 12E, MDM",
AUSAYMAS Y SAN FELIPE,233,,"Francisco Perez Pacheco, Francisco Perez
  Pacheco",1859,504.34,2,,
LA BREA,429,Los Angeles,"Jose Antonio Carrillo, Alcalde, A. J. Rocha, Nemisio Dominguez, Josefa Alvarado, A. J. Rocha, Antonio Jose Rocha, Jose Jorge Rocha, Josefa de la Merced Jordan, Josefa Alvarado",1873,439.07,,,
POTRERO DE FELIPE LUGO,446,Los Angeles,"Jorge
   Morillo, Teodoro Romero, Morillo, Romero",1871,042.81,,,
CANADA DEL HAMBRE Y LAS BOLAS,114,,"Teodoro Soto, Teodoro Soto",1866,"13,353",2,"In T 2N, R 3W, MDM",
LOMPOC,374,Santa Barbara,"Joaquin Carrillo, Jose Antonio Camilo",1873 to J. and J. A. Carrillo,38.000,,,
